open,high,low,close,pre_close,change,pct_chg,vol,amount,close_index,open_index,high_index,low_index,change_index,pct_chg_index,vol_index,amount_index
11.33,11.5,10.8,10.96,11.32,-0.36,-3.1802,245699,269364.705,2994.7303,2965.2452,2996.4086,2961.8556,27.3275,0.9209,297782235,294321888.8
10.46,11.32,10.46,11.32,10.29,1.03,10.0097,170095,190892.432,2967.4028,2940.3032,2985.4679,2939.984,21.5504,0.7316,315201432,313347004.2
10.45,10.64,10.27,10.29,10.55,-0.26,-2.4645,98115.54,102387.979,2945.8524,2962.6964,2963.0644,2944.8979,-26.6727,-0.8973,270548519,266670979.4
10.06,10.57,9.83,10.55,10.17,0.38,3.7365,134979,138592.393,2972.5251,2943.4471,2976.669,2933.3304,22.5288,0.7637,282388409,276215175.5
10.38,10.6,10.01,10.17,10.44,-0.27,-2.5862,116666,119475.97,2949.9963,2962.7654,2971.6534,2935.5382,-13.1026,-0.4422,273209938,296569297.3
10.98,11.1,10.32,10.44,11.14,-0.7,-6.2837,165620,175485.694,2963.0989,2982.8263,2990.6429,2960.1267,-35.0388,-1.1687,298653884,318595817.7
11.1,11.35,10.8,11.14,11.52,-0.38,-3.2986,201122,222258.261,2998.1377,2998.2413,3011.9141,2985.9291,-7.2992,-0.2429,255001251,280275384.8
12.14,12.14,11.11,11.52,11.52,0,0,384641.4,450790.379,3005.4369,3015.7224,3028.5143,3001.7677,-12.6122,-0.4179,295515907,324101266.4
10.45,11.52,10.45,11.52,10.47,1.05,10.0287,166520.5,184994.653,3018.0491,3029.0993,3030.2259,3015.3263,-12.1973,-0.4025,261296248,300290286.7
10.02,10.52,10.01,10.47,10.1,0.37,3.6634,93967.5,97367.328,3030.2464,3015.0713,3031.9758,3012.5234,14.3557,0.476,273625999,317319995.7
10.04,10.29,9.98,10.1,10.07,0.03,0.2979,66185,66939.159,3015.8907,3017.7169,3026.6242,3012.0452,-16.7426,-0.5521,295763448,338146875.6
10,10.09,9.8,10.07,10,0.07,0.7,42965,43008.25,3032.6333,3020.9588,3037.9046,3011.5773,3.7146,0.1226,348746753,396194698.3
10.26,10.42,9.98,10,10.24,-0.24,-2.3438,72652,73462.6,3028.9187,3038.0859,3040.4021,3022.8224,-8.5488,-0.2814,297862463,336871037.1
9.76,10.25,9.72,10.24,9.77,0.47,4.8106,89532,90333.422,3037.4675,3025.2963,3042.0423,3021.3085,9.4224,0.3112,279452106,312058601.5
9.78,9.8,9.31,9.77,9.61,0.16,1.6649,64157,61669.577,3028.0451,3042.1338,3043.1997,3013.8611,-23.2336,-0.7614,310481942,332683377.8
9.42,9.76,9.42,9.61,9.32,0.29,3.1116,83259,80007.147,3051.2787,3053.9153,3065.0247,3031.0443,2.4848,0.0815,316342484,318911097.5
9.76,9.99,9.1,9.32,9.96,-0.64,-6.4257,120424.15,113736.443,3048.7939,3069.4393,3077.6725,3040.8295,-16.6095,-0.5418,369867104,371317019
10.12,10.13,9.91,9.96,10.12,-0.16,-1.581,61395.5,61429.807,3065.4034,3086.0509,3092.3459,3064.7359,-25.7958,-0.8345,290542344,299722764.4
10.48,10.48,9.9,10.12,10.5,-0.38,-3.619,110581,111573.732,3091.1992,3071.3196,3095.3221,3063.5879,12.7105,0.4129,309287598,325589691.9
10.83,10.99,10.35,10.5,10.83,-0.33,-3.0471,101388,107454.907,3078.4887,3085.9814,3097.2043,3061.2766,-8.3247,-0.2697,357563362,367608352.5
10.47,10.9,10.42,10.83,10.56,0.27,2.5568,84922.5,91234.866,3086.8134,3094.7587,3107.6035,3086.8134,-4.8644,-0.1573,276072816,301121881.3
10.8,10.84,10.49,10.56,10.84,-0.28,-2.583,76956.5,81560.22,3091.6778,3103.7078,3121.218,3085.3841,-19.3398,-0.6217,302380762,318475183
10.87,11.11,10.74,10.84,10.89,-0.05,-0.4591,82676,90133.853,3111.0176,3108.0267,3128.1365,3100.9797,1.4455,0.0465,289970346,297512177.3
10.96,11.11,10.67,10.89,10.98,-0.09,-0.8197,88255,96293.575,3109.5721,3122.3877,3130.3103,3106.3645,-14.4706,-0.4632,310066974,320985406.5
11.18,11.28,10.66,10.98,11.15,-0.17,-1.5247,120271.5,130718.892,3124.0427,3094.14,3125.5064,3091.9893,35.1722,1.1387,319396765,345383767.8
11.6,11.79,11.14,11.15,11.83,-0.68,-5.7481,183536.02,208907.601,3088.8705,3110.7533,3130.4245,3087.7941,-27.5165,-0.883,306532279,322748606.4
11.99,12.47,11.81,11.83,11.95,-0.12,-1.0042,216049.82,261381.906,3116.387,3149.8752,3150.6282,3110.2773,-42.1529,-1.3346,353943727,356689462.9
11.8,12.13,11.67,11.95,11.84,0.11,0.9291,161152,192195.763,3158.5399,3157.1889,3166.9191,3152.457,0.5742,0.0182,354098082,364137830.7
12.12,12.3,11.79,11.84,12.19,-0.35,-2.8712,190338.32,227380.314,3157.9657,3164.6826,3165.2237,3148.342,-13.1794,-0.4156,335783572,346584200.8
12.09,12.58,12.08,12.19,12.09,0.1,0.8271,358989.75,441265.931,3171.1451,3156.1482,3174.2658,3155.9903,17.1188,0.5428,426867280,448816915
11.22,12.09,11.05,12.09,10.99,1.1,10.0091,179826.91,210294.112,3154.0263,3121.7126,3154.0263,3116.7842,31.6253,1.0129,383915244,389572549.3
11.07,11.28,10.93,10.99,10.96,0.03,0.2737,116998,129982.17,3122.401,3127.1841,3137.8779,3116.1627,2.4989,0.0801,367417361,377502921.5
10.73,11.19,10.61,10.96,10.87,0.09,0.828,124394.8,136569.636,3119.9021,3141.2518,3142.9725,3117.9287,-25.8722,-0.8224,321027962,333005622.2
10.8,11.05,10.68,10.87,10.71,0.16,1.4939,96487,104558.57,3145.7743,3148.8488,3155.8071,3137.6091,-2.2464,-0.0714,343526194,370069674.9
11.29,11.33,10.65,10.71,11.33,-0.62,-5.4722,148058,160730.241,3148.0207,3139.4753,3157.3656,3126.1697,-6.5265,-0.2069,397030565,425963088.2
11.98,12.13,11.23,11.33,11.99,-0.66,-5.5046,184280,212676.34,3154.5472,3158.5891,3163.1441,3137.1517,0.2271,0.0072,384287495,406707822.8
12,12.02,11.52,11.99,12.12,-0.13,-1.0726,193736.73,228777.641,3154.3201,3128.1644,3158.4646,3128.1644,25.8403,0.826,360881462,398979066.9
11.85,12.28,11.56,12.12,11.9,0.22,1.8487,271815.9,327335.027,3128.4798,3141.4874,3144.9856,3126.1729,-19.2582,-0.6118,334000320,367220116.5
12.22,12.35,11.72,11.9,12.21,-0.31,-2.5389,307716.12,369303.384,3147.738,3139.6637,3151.219,3133.6904,7.0176,0.2234,379102564,426951665.9
11.16,12.75,11.16,12.21,12.4,-0.19,-1.5323,454034.37,543413.918,3140.7204,3132.5115,3142.3816,3126.7689,35.8959,1.1561,450656899,511256135.6
15.15,15.15,12.4,12.4,13.78,-1.38,-10.0145,553122.82,763393.476,3104.8245,3110.1594,3123.2876,3104.2943,-8.2187,-0.264,440213213,473803228.5
13,13.78,11.91,13.78,12.53,1.25,9.9761,279643.21,368292.932,3113.0432,3086.6819,3119.6857,3080.5858,24.4075,0.7902,506925445,554918811.2
12.32,12.53,11.68,12.53,11.39,1.14,10.0088,227109.79,278876.118,3088.6357,3054.9793,3092.43,3054.9793,35.7357,1.1705,439382563,484160093
10.69,11.39,10.52,11.39,10.35,1.04,10.0483,141204.2,155976.4,3052.9,3037.9273,3060.2635,3034.6499,8.0777,0.2653,292280148,315797661.2
9.34,10.35,9.33,10.35,9.41,0.94,9.9894,77230.2,78331.74,3044.8223,3029.4028,3045.6398,3019.1239,22.8448,0.756,305264093,335157362.7
9.4,9.63,9.33,9.41,9.39,0.02,0.213,71389,67590.644,3021.9775,3038.6118,3044.9438,3016.5169,-22.6177,-0.7429,325595128,348651765.4
9.78,9.9,9.32,9.39,9.9,-0.51,-5.1515,95004.7,90387.591,3044.5952,3059.0649,3078.4226,3042.542,-20.6658,-0.6742,357216399,382192259.2
9.72,10.22,9.46,9.9,9.76,0.14,1.4344,145995,142721.425,3065.261,3060.2989,3080.3227,3055.0577,-8.9636,-0.2916,375543855,396614941.1
9.5,10.28,9.29,9.76,9.4,0.36,3.8298,152814.7,148298.318,3074.2246,3060.0309,3102.5527,3057.7606,2.844,0.0926,416321349,441432075.8
8.14,9.45,8.14,9.4,9.04,0.36,3.9823,158263.19,143515.857,3071.3806,3008.0614,3071.3806,3002.0564,64.3125,2.1387,413358368,416254660.8
9.04,9.14,9.04,9.04,10.04,-1,-9.9602,31372,28372.898,3007.0681,3043.5505,3052.4346,3005.34,-50.3095,-1.6455,448070473,435170805.5
10.04,10.41,10.04,10.04,11.15,-1.11,-9.9552,125845,127429.045,3057.3776,3013.6722,3066.9412,2995.542,37.9041,1.2553,461239244,459849043.3
11.2,11.58,11.14,11.15,11.33,-0.18,-1.5887,65099.2,73572.708,3019.4735,3035.5773,3043.5599,3014.8297,-14.7729,-0.4869,334229771,363119193
11.61,11.81,11.33,11.33,11.96,-0.63,-5.2676,93375,107830.763,3034.2464,3013.5727,3050.3372,3009.8972,6.9115,0.2283,340894392,364147836.5
11.63,12.09,11.1,11.96,11.7,0.26,2.2222,140012.6,160966.472,3027.3349,3045.9609,3049.6072,3013.5897,-21.202,-0.6955,348991721,364717833.5
11.82,12.09,11.52,11.7,11.88,-0.18,-1.5152,101979,119251.518,3048.5369,3044.6136,3051.5851,3033.2089,1.4843,0.0487,333489965,347834663.5
12.55,12.56,11.88,11.88,12.63,-0.75,-5.9382,124684.75,151239.219,3047.0526,3057.3255,3077.3512,3045.4692,-22.2433,-0.7247,402936740,421808399.7
12.87,13.08,12.2,12.63,13.24,-0.61,-4.6073,167663.97,211072.774,3069.2959,3074.8929,3079.02,3057.3972,-5.6627,-0.1842,363211380,392704394
13.54,14.06,13.14,13.24,13.73,-0.49,-3.5688,183349.77,248779.067,3074.9586,3076.8752,3085.5365,3063.9808,-2.42,-0.0786,367304262,396705813.3
13.55,13.75,13.13,13.73,13.69,0.04,0.2922,196676.88,264602.304,3077.3786,3049.0207,3078.4883,3049.0207,36.2117,1.1907,375393640,420902006.8
12.95,13.73,12.78,13.69,13.26,0.43,3.2428,277161.54,368784.273,3041.1669,3008.3757,3041.2978,3008.1672,30.5033,1.0132,334822785,364571210.1
12.67,13.4,12.67,13.26,12.38,0.88,7.1082,233562.49,306219.773,3010.6636,2988.5899,3033.3666,2984.1201,17.5248,0.5855,353200026,392929088.7
12.52,13.24,11.7,12.38,12.55,-0.17,-1.3546,232470.99,287742.321,2993.1388,3026.8138,3030.4495,2993.1388,-38.3421,-1.2648,343198010,376242896.1
13.14,13.28,12.42,12.55,13.1,-0.55,-4.1985,162139,206365.025,3031.4809,3026.9218,3036.4939,3006.2597,5.1754,0.171,345928787,396410716.1
13.55,14.1,12.98,13.1,13.69,-0.59,-4.3097,206084.08,279476.422,3026.3055,3040.501,3065.2611,3026.3055,-21.7281,-0.7129,387485389,443472341.3
14.25,14.28,13.48,13.69,14.73,-1.04,-7.0604,285194.22,395125.873,3048.0336,3070.5481,3073.2058,3027.7615,-29.0794,-0.945,394740486,456762466.6
14.25,15.7,13.7,14.73,14.3,0.43,3.007,455169.83,665255.39,3077.113,3084.4116,3090.0513,3069.272,-2.5729,-0.0835,366877968,437634616.3
12.99,14.3,12.99,14.3,13,1.3,10,315845.02,431163.145,3079.6859,3058.6478,3081.7547,3056.645,16.9301,0.5528,349187729,407432569.7
12.76,13.73,12.75,13,12.94,0.06,0.4637,215848.26,285045.396,3062.7558,3077.9805,3090.0459,3062.6279,-22.1704,-0.7187,384123680,446930657.8
